"conc_group","filter_ok_unter_gok","HA","kf_bez","gwn_mean","sand_depth_weighted_mean","corg_gehalt_depth_weighted_mean","Makroporen_rounded","area_sentinel_id_14","area_sentinel_id_16"
"2",4.01,"P","2",189.040405273438,61.07191,2.064,"2",83357.8569724884,14506.6842017695
"1",10,"K","1",74.5553207397461,26.59426,2.408,"2",14583.6037908169,18366.6666666667
"1",52,"P","2",92.630615234375,92.8125,1.0664,"1",0,1602.35100483211
"2",6.24,"P","2",104.028999328613,13.1011,4.902,"2",217491.498789816,564768.070269438
"2",4.2,"P","2",201.583145141602,28.28132,3.053,"1",9207.37589391332,11695.8077060059
"1",45,"K/Ka","1",64.8176040649414,34.06258,1.376,"3",82038.9731278932,56662.4134512075
"2",55.2,"K/Ka","1",172.927169799805,22.5938,1.548,"1",36039.471184959,773.159243911505
"1",11.5,"P","2",122.997451782227,40.306627,1.548,"2",0,35037.3951769395
"1",18.81,"K","1",162.381881713867,22.00283,2.322,"1",0,66.6666666666667
"1",26.7,"P","2",94.5514297485352,82.2844,0.774,"1",0,35405.9051599043
"1",27.56,"P","2",68.2259292602539,54.80008,0.86,"1",8133.33333333333,19357.4339989573
"2",2.2,"P","3",190.022598266602,28.28132,3.053,"1",2197.14806278547,14384.6577825646
"1",35,"K","1",118.722877502441,39.93601,1.419,"1",0,10741.383716464
"2",3.19,"P","2",236.336318969727,92.8125,1.677,"1",75.377215941747,833.333333333333
"2",2.25,"K","2",123.859680175781,65.5313,1.6125,"1",58200,12175.3435117581
"1",4.15,"P","2",151.393493652344,86.64376,1.032,"1",11351.2584628654,67433.3333333333
"1",38,"P","2",70.2223510742188,72.978175,1.376,"1",0,848.763379454613
"1",10,"K","1",20.827278137207,41.5001,1.548,"2",1533.33333333333,17851.9070622822
"2",12.8,"P","2",178.230834960938,86.601589,0.9718,"1",110666.666666667,55761.1514467746
"2",2.1,"K","2",78.0314025878906,50.058831,1.935,"2",641611.273643036,136000.462876462
"1",8.93,"P","2",58.1988525390625,46.94383,1.505,"2",35491.682974569,40448.8707655575
"1",11.02,"P","2",12.0710935592651,86.95315,0.516,"1",0,119215.685140577
"2",13.45,"P","2",160.353942871094,25.8938,5.16,"2",103229.2211887,53962.5926158003
"1",24.5,"P","2",194.517288208008,45.845405,1.548,"2",0,2972.85998463631
"1",7,"P","2",225.625427246094,66.5625,0.989,"2",0,23266.6666666667
"2",4.2,"K","1",119.021476745605,15.8843,2.58,"2",402900.771309384,4192.9529256653
"1",36,"K","1",25.8372001647949,19.24891,2.322,"2",72310.4582834128,5566.66666666667
"1",44.11,"P","2",101.824073791504,92.8125,0.946,"1",0,17299.5416517059
"1",10,"P","2",95.6312026977539,13.10458,1.548,"1",0,38907.9844468584
"1",12.5,"K/Ka","1",103.887985229492,23.51255,1.548,"3",13901.7404082226,9697.4783875157
"2",24,"P","2",161.035827636719,92.8125,0.774,"1",11233.3333333333,62592.6660139812
"2",8.5,"P","2",119.90323638916,13.1011,4.902,"2",3333.33333333333,7200.41593040029
"1",3,"P","2",101.591720581055,70.33129,0.946,"1",4447.86377591081,37515.3127839168
"2",13,"K/Ka","1",89.1974258422852,20.66434,2.15,"3",359868.776933637,44984.1400196155
"2",12,"P","2",186.582580566406,88.882825,0.645,"1",46647.8810065115,362841.965191303
"2",8.87,"P","2",79.4041137695312,46.1876,1.72,"1",156230.416427483,0
"2",7,"K","2",117.269798278809,26.732895,1.72,"1",0,433686.147403329
"2",5,"K/Ka","2",39.1041984558105,22.5938,2.3822,"1",0,38935.2199879941
"1",9.5,"P","3",111.136581420898,17.11544,1.548,"3",3000,422229.490475767
"2",5,"P","2",219.025283813477,16.80542,1.634,"3",15966.7945785603,95982.6666907366
"1",15.5,"P","3",207.971954345703,60.47505,1.548,"2",0,159443.426863939
"1",7.2,"P","3",69.6572418212891,60.40002,2.15,"2",111787.15873564,12828.9885381819
"2",6.7,"P","2",120.565284729004,20.66434,2.15,"3",124794.920770276,241066.943975697
"1",42,"P","2",140.660247802734,92.8125,2.4854,"1",100,92328.9900118873
"2",13.2,"P","2",121.775894165039,66.5625,0.989,"2",21106.8824677146,207708.293872877
"2",17,"P","2",148.635467529297,92.8125,1.0664,"1",3112.17660538775,91460.1069875355
"1",12.28,"P","2",36.1200752258301,65.61568,1.72,"1",0,13802.3878892263
"1",13,"P","2",77.126220703125,65.5313,2.58,"1",7133.33333333333,165392.899947503
"2",5.5,"P","2",141.836044311523,31.26994,1.935,"1",117035.490277646,19567.3938970082
"1",6.83,"P","2",222.322189331055,46.1876,2.15,"2",0,0
"2",6.06,"P","1",153.579208374023,21.17029,1.548,"2",108229.976845315,90101.1567920446
"1",2.7,"P","2",57.0420227050781,55.59852,3.483,"2",0,1666.66666666667
"2",11,"P","2",94.1352386474609,36.8126,19.78,"2",29332.6400724666,687659.134067645
