"conc_group","filter_ok_unter_gok","HA","kf_bez","gwn_mean","sand_depth_weighted_mean","corg_gehalt_depth_weighted_mean","Makroporen_rounded","area_sentinel_id_1","area_sentinel_id_10","area_sentinel_id_12","area_sentinel_id_13","area_sentinel_id_14","area_sentinel_id_15","area_sentinel_id_16","area_sentinel_id_17","area_sentinel_id_18","area_sentinel_id_19","area_sentinel_id_2","area_sentinel_id_20","area_sentinel_id_21","area_sentinel_id_3","area_sentinel_id_4","area_sentinel_id_7","area_sentinel_id_9"
"2",8.54,"P","3",240.712921142578,42.84071,1.548,"2",20267.0361026578,565398.545168019,28000,0,6366.66666666667,2433.33333333333,79878.4747610412,0,142866.910244809,0,71997.4490084939,247329.346091385,626979.138983387,2100,131375.713617847,3000.58246512784,4933.33333333333
"2",4,"P","3",21.7770519256592,31.9438,1.505,"1",294774.926817224,362987.234300908,125281.022269909,127313.752075863,121248.823948486,0,13433.3333333333,0,9634.54744617144,0,225340.813093996,138345.386560634,333.333333333333,52863.9293414191,46032.0151584844,14600,0
"1",6.05,"K","2",94.7772064208984,14.4927,1.72,"2",1448842.08091208,12637.6095118001,398604.346517464,0,572726.378031913,156747.55029247,124106.161482023,0,0,0,124166.455009026,7181.30737791459,0,8291.47212480505,0,9121.39293948809,81481.151506685
"1",3.8,"P","2",125.020805358887,12.9465,1.548,"1",106857.969232684,227682.231429129,0,0,166.666666666667,0,124578.516030976,0,8451.5171845754,0,30587.780814872,130495.886758094,0.3402229398489,9000,11633.3333333333,14403.1950822721,0
"2",24.6,"P","2",78.0462875366211,74.8688,0.86,"1",216587.141295592,151820.283516177,386360.084655154,47446.3282642265,0,14233.3333333333,63600,0,366.666666666667,0,309499.195950925,247129.839310882,1600,209615.052869586,81985.168958564,116122.298038866,72549.9427925097
"1",5,"P","2",48.863037109375,92.8125,2.236,"1",0,299548.77898273,0,215572.623636843,0,0,8933.71408482393,0,66.6666666666667,0,0,105829.420181738,0,222510.890983812,9100,36698.8440942019,0
"2",24,"P","2",68.0850448608398,69.4188,1.29,"1",266758.584359167,666010.983875302,288061.847883214,7133.33333333333,0,0,29166.7079320488,0,33.3333333333333,0,625086.078426816,29187.5701909264,0,259584.611383361,24578.2623477591,67777.1335751268,166.666666666667
"2",6.3,"P","2",208.929733276367,13.1011,4.902,"2",64885.7055802708,333451.453763925,0,0,366.666666666667,12049.7948211812,40933.3333333333,0,265281.081239443,0,111702.025174794,186497.203545893,591348.609714368,5966.66666666667,96505.1739363,3300,2064.69481407354
"2",20,"K","1",31.514835357666,18.152752,1.978,"2",268764.331093722,12855.8353913327,189235.221981044,3691.32518980963,0,0,333.333333333333,0,10458.3495136661,0,389088.214755082,528484.785641943,433.333333333333,24217.226074636,214370.322119279,48934.615446503,8942.15647196397
"1",11,"P","2",69.1110763549805,92.8125,1.376,"1",79160.3375453677,582187.083009654,149099.592900437,64358.9022620708,0,0,33.3333333333333,0,0,0,229523.501582871,41586.4336870533,0,482881.742222503,85353.9306350634,34457.7581637539,20000
"1",5,"K/Ka","1",156.324600219727,54.34504,3.053,"1",0,2638.68470058466,0,0,0,0,1066.72952135947,0,49200.1129300353,0,1777.78274218241,463139.090359903,5254.42701040107,0,1064.05918134066,0,2466.66666666667
"2",25.5,"K/Ka","1",88.5007934570312,23.578175,1.892,"1",262946.21094457,110120.706391019,21442.2815366107,0,60544.6298009949,948.253786975207,10121.8904343899,0,33.3333333333333,0,168982.884214964,125141.456499668,1900,0,22856.3130692314,773.419409866134,466.666666666667
